業界,概要文
居酒屋・バー業界の会社,海鮮居酒屋「だんまや水産」や寿司屋「魚彦」、焼肉店「カルビ大福」およびとんかつ店「藤よし」などの飲食店の運営を行う。また、仕出しや弁当の宅配も手掛ける。
タクシー業界の会社,第一交通産業グループのグループ会社として、長崎県佐世保市に営業所を構え、タクシー運行などのサービスを手掛けている。
塾・受験予備校業界の会社,北海道札幌市を中心に小中高生を対象とした集団指導および個別指導の学習塾の運営および管理を行う。また、オリジナル教材の作成や模試の実施も手掛ける。
ゴルフ場業界の会社,山梨県笛吹市にて、ゴルフ場「春日居ゴルフ倶楽部」の運営を手掛けている。プロによるラウンドレッスンや練習場でのレッスンも開催する他、オープンコンペなどのイベントの運営にも取り組む。
警備業界の会社,警備センサーが反応した現場に急行し警察などに連絡をする機械警備や、貴重品など現金輸送車で輸送する警備輸送などを手がけている。また、商業ビルや金融機関などに常駐し、防犯や防災に関する業務を行う。その他、個人向けの「ホームセキュリティBasic」などの警備サービスも提供している。
中古車販売業界の会社,中古車の買取および販売を行うディーラー店「オートタウン犬山店」等の運営を行う。VRを用いたWeb上の展示会場を後悔している点が特徴である。また、タイヤ交換などの車両整備や車検代行、自動車保険の販売も手がける。その他、月額1万円から利用できる新車のリースサービス「お手軽くん」も展開している。
タクシー業界の会社,"奈良市を中心に,タクシーサービスの運行を手掛ける。"
高齢者向け福祉業界の会社,「訪問介護センターおあしす」「訪問介護事業所おあしす中央」などの運営を行う。また、グループホームおよび介護付有料老人ホームも運営する。その他、訪問や通いおよび宿泊の3つのサービスを提供する小規模多機能型居宅介護も手掛ける。
ホテル・旅館業界の会社,長野県に位置するリゾートホテル「白馬アルプスホテル」の運営を手掛けている。客室は和洋室と洋室に加え、スイートルームを備えている。また、温泉には露天風呂と大浴場があり、さらに流水マリンブローやジャグジー、打たせ湯やサウナなどのクアハウスがある。その他、料理ではフランス料理やバイキングを提供する。
食品店業界の会社,「Aコープジェスタイーザ店」を運営し、青果や水産食品、精肉および惣菜の加工と販売を行っている。その他、日用雑貨なども取り扱う。
タクシー業界の会社,通常のタクシーからジャンボタクシー、ハイヤーまで幅広く取り扱う。後部座席の屋根が開き乗り降りが楽な「花嫁タクシー」や、高齢者や体の不自由な人のための福祉タクシーなども手掛ける。また、小型バスや中型バスなどを用いた観光バス事業や旅行代理店業務も行っている。
高齢者向け福祉業界の会社,山形県東置賜郡の通所介護施設「デイサービスたちばな」の運営を手掛ける。また、短期入所生活介護および介護予防短期入所介護施設である「白鷹介護サービスセンター ふれあいの里」の運営も行う。
ゴルフ場業界の会社,「旭国際宝塚カンツリー倶楽部」など3つのゴルフ場を運営する会社。また、鳥取にあるゴルフ場には宿泊施設も併設する。
ホテル・旅館業界の会社,宿泊施設と温泉を有するリゾート施設「ホテルジェイズ日南リゾート」の運営を行う。その敷地内にてゴルフ場「ジェイズカントリークラブ日南コース」も運営している。また、レストランやカラオケバーも有する。その他、「ジェイズウエディングプラン」として結婚式場にも対応。
水産物食品専門商社業界の会社,仲卸や鮮魚店、量販店などに鮮魚や漬魚及び鱒鮭類などの販売を行う。その他にも、小売店などに対して食品の販促物の提案を請け負う。また、食品の配送も手がける。
タクシー業界の会社,パーティーや商談などに利用可能なリムジンタクシーの運行を行っている会社である。60・90・120分の貸切コースなどが用意されており、空港への出迎えをはじめ、ウェディングプランや女子会プランなどの運行サービスも提供。さらにワイン・ドリンクサービスにも対応している。
居住用リフォーム業界の会社,住宅やマンションおよび公共施設などの外壁や屋根塗装を行う。また、雨漏り修理や防水工事、左官工事およびモルタル補修も請け負う。その他、3DCADを用いたエクステリアの設計を手掛けている。
自動車部品・カー用品製造業界の会社,顧客から受け取った図面やデータから、CADで作成したデータを機械に送り、ダッシュボードに関わる部品や車の骨組みであるフレーム等、自動車部品の試作製造を行う。また三次元測定器を用い、品質検査を行った上で製品提供を行っている。
タクシー業界の会社,通常のタクシーに加え、大型車やワンボックス車、さらにレトロ車両などの運行を行う。また介護用車両を所有しており、介護タクシー事業も手掛けている。介護ヘルパー資格を持つスタッフが添乗し、利用者の乗降サポートを可能としている。その他、子育て支援タクシーや運転代行業務に取り組む。
居住用リフォーム業界の会社,庭の模様替えをはじめ、庭の手入れなどを請け負う。さらに、中庭の造園も手がけ「札幌中島体育センター」や「さかな・真心庵」などの施工実績がある。また、樹木剪定や樹木移植のほか、病害虫防除や草刈および除草にも対応している。
ホテル・旅館業界の会社,北海道寿都郡黒松内町において、宿泊施設「歌才自然の家」や「黒松内町特産物手づくり加工センタートワ・ヴェール」の運営を行う。「トワ・ヴェール」ではチーズやアイスクリーム、ソーセージおよびハムなどの地元食材を取り扱っている。また、パンの製造販売も行う。
ホテル・旅館業界の会社,主に外国人向けのホテルが多く、2段ベッドが並び複数人で使用するタイプの部屋を備えたホステルを運営している会社。またホステル以外でも、国内向け家族がゆっくり過ごせるリーズナブルなホテルや東北地方のローコスト型ホテルなどを手掛けている。
食品店業界の会社,韓国食品の製造や販売、卸売ならびに食品加工を手掛ける。また、韓国食品専門店「ソウル市場」の運営を行う。その他、楽天市場やASUKULにおいてWeb販売にも対応している。
高齢者向け福祉業界の会社,地域の年間介護費用の削減や病気からの自立支援を目的とした予防リハビリに取り組んでおり、リハビリテーション施設「リハ倶楽部」を運営する。リハビリ特化型デイサービスやグループによる専門士監修のリハビリテーションの他、ホームヘルパーや居宅介護事業に関する業務も行う。
高齢者向け福祉業界の会社,障がい者や高齢者用の通所および介護施設の運営を行う。障がい者施設については、通所だけではなく、自立した生活を支援するグループホームも運営する。また、高齢者に対してホームヘルパー事業を行っている他、子供向けに放課後などのデイサービスも手掛けている。
ホテル・旅館業界の会社,宿泊施設「国民宿舎山紫苑」や日帰り温泉施設「温泉館ホットピア鹿野」の運営を手掛けている。また、特産品や工芸品などの直売所「鹿野おもしろ市場」およびそば打ち体験を行う「鹿野そば処」の運営にも取り組む。
高齢者向け福祉業界の会社,生活介護や医療および精神面の支援を中心とした訪問看護や在宅リハビリテーション、デイサービスを手掛けている。
タクシー業界の会社,千葉県八千代市にて、タクシーによる人員輸送を主に手掛ける。高齢者外出支援としての介護タクシーなどの運行を行う点が特徴である。
ゴルフ場業界の会社,ゴルフ場「知覧カントリークラブ」を運営する。また、施設内には風呂やレストランを併設する。
タクシー業界の会社,大阪府大阪市を拠点として、タクシーの運行を手掛けている。
高齢者向け福祉業界の会社,訪問介護事業所「ゴールデンスタッフ福島」を運営し、要介護者に身体介護や生活支援などの訪問サービスを提供する。また、「居宅介護支援センター」において介護プランの作成や介護サービスの申請支援に携わる。その他、病院やクリニックなどの施設管理、ならびに病院での給食や配膳業務にも対応。
タクシー業界の会社,タクシーなどの運転代行サービスを実施する。寝たままや車椅子対応の介護タクシーやジャンボタクシーに県内外の観光にも対応する。
タクシー業界の会社,熊本県に拠点を置き、清正グループのタクシー事業を手掛ける。熊本空港から熊本市内中心部までの貸切タクシーの提供を行う。また、マタニティータクシーの導入にも取り組む。
ゴルフ場業界の会社,岩手県八幡平市にて、ゴルフ場「南部富士カントリークラブ」の運営を行っている。コースは丘陵タイプで、レストランも併設している。また、「キリンビール杯」「アサヒビール杯」「ダンロップ杯」などの大会も手掛ける。
高齢者向け福祉業界の会社,主に居宅介護施設の運営を手掛ける。小規模居宅介護施設とグループホームを併設させた施設を運営しているのが特徴である。その他、看護施設の運営も行う。
居住用リフォーム業界の会社,建築の内装工事を行っており、軽鉄下地工事やボード貼り工事、また仕上げ工事などを請負う。
Webサービス・アプリ運営業界の会社,インターネット上で就職及び転職専門のクチコミサイト「Openwork」を管理・運用している。実在する企業の社員から直接情報を書き込みしてもらい、情報を収集している。評価スコアを設けており、異なる会社でスコアを比較することが出来る。
自動車部品・カー用品製造業界の会社,大同メタル工業のグループ企業として、半割軸受およびスラストワッシャーなどの自動車用エンジン部品の製造を手掛ける。国内外の各種自動車および二輪メーカー、ならびに建設や農業用の各発動機メーカーなどがある。
自動車部品・カー用品製造業界の会社,愛知県高浜市に拠点を置き、シートカバーやヘッドレストなど、自動車内装部品の製造を手掛けている。
美容サロン業界の会社,「毛髪クリニック リーブ21」を運営し、低周波および高周波を用いた技術による、会員制の発毛促進サービスの提供を手掛ける。また、頭皮や毛髪のケア製品の販売にも取り組み、主に、「アクティシャンプーR」「スカルプコンディショナー」シリーズなどを取り扱う。
タクシー業界の会社,神奈川県横浜市に拠点を置き、タクシーの運行を手掛ける。
美容サロン業界の会社,ヘアカット専門店「アヴァンティ」の運営を行っており、東京を中心に事業を展開している。
タクシー業界の会社,「山手グループ」のグループ会社であり、一般タクシーや観光タクシーの運行を手掛ける。また、福祉タクシーやワゴンタクシーの運行にも対応。その他に、タクシー運転代行や旅行業にも取り組む。
ホテル・旅館業界の会社,株式会社日本ハウスホールディングスのグループ会社として事業を展開する。主にホテル事業として「ホテル森の風鶯宿」のほか、「ホテル四季の館那須」及び「ホテル東日本宇都宮」の運営を行う。その他、「フラワー&ガーデン森の風」や会員制リゾートクラブ「みやび倶楽部」の運営も行っている。
人材紹介業界の会社,歯科医師・歯科衛生士の人材紹介、歯科スタッフの求人広告のサービスを行う。また新卒歯科衛生士の採用を促進させるために、効果的な求人票や病院関連の添付資料を作成し、全国の歯科衛生士学校に送付している。他に歯科医院向けの事務代行、事務長の採用・育成・業務支援も手がける。
金属部品製造業界の会社,各種プレス加工技術などを用いて産業用部品や電気機器部品、自動車部品などの金属製品の製造および加工を手掛けている。金型の設計から試作、加工や組立などを一貫して行うことにより、小ロット及び短納期に対応。
警備業界の会社,施設警備や交通誘導警備および貴重品運搬警備、身辺警備などの警備全般を行う。また、機械警備やイベント警備も手掛け、ビルのメンテナンスも請け負う。
タクシー業界の会社,車いす専用タクシー事業や介護タクシー事業及び民間救急搬送を手掛けている。また、洛和会ヘルスケアシステムグループが所有する車両の管理も行う。
Webサービス・アプリ運営業界の会社,金融領域特化型自社メディア「ZUU online」の運営を行う。また、フィンテック化支援として金融企業や不動産企業を対象に情報発信を目的とするメディア、プラットフォームの構築や運営およびデジタールマーケティングに関するコンサルティングを手掛ける。人材紹介や人材育成を含む金融機関向けのHR支援も行うほか、自社メディアにおいてインターネット広告枠の販売を行うことによって販売促進の支援も行う。加えて、金融機関および転職を希望するユーザーに対する特化型のリクルーティング支援も請け負っている。
高齢者向け福祉業界の会社,高齢者や障害者に対して在宅介護や看護サービスを提供するケイ・ティ・グループのグループ会社である。訪問看護ステーションわたぼうしを運営している。また、在宅療養中の高齢者に日常生活向上に向けた自立支援を行っている。
自動車部品・カー用品製造業界の会社,自動車の歯車など、車体部品や駆動部品などの製造および販売を手掛ける。縦型MCやNCホブ盤などの設備を保有しており、切削油を使わないドライカット製法が特徴。製品は偏心ピンやシャフト、ローターなどがある。
高齢者向け福祉業界の会社,訪問看護、訪問鍼灸ならびに居宅介護支援事業所「ココ・ステーション仙台中央」、「八乙女おちあい接骨院」を運営している。また、訪問看護経営コンサルティングも請け負うほか、統計解析エンジニアリングなどシステム開発事業も展開している。
タクシー業界の会社,タクシーや乗合タクシーおよび介護タクシーの運行を行っている。また、アルプスの登山客の送迎および民間患者の搬送も請負う。
タクシー業界の会社,普通タクシーや大型タクシー並びにジャンボタクシーやバス区分車両を保有する。貸切や観光タクシーとしての利用にも対応。「定額タクシー」というあらかじめ設定した料金で送迎を行うサービスも行う。その他介護事業として「介護保険タクシー」や「おでかけタクシー」も手掛ける。
高齢者向け福祉業界の会社,主に訪問介護および訪問看護事業を行っている。食事や排せつなどの介助や、調理や掃除などの生活援助をはじめ、医師の指示に基づく医療処置、リハビリ等も行う。また、自社専属のケアマネジャーによる居宅介護支援も行っている。
タクシー業界の会社,トモエタクシーグループの核となる、タクシー事業を営む。大阪市及び近隣地域と河北地域をエリアに活動しており、GPS無線配車を導入しているほか、全国の主要都市で使用できるタクシーチケットのサービス体制を確立している。流しの顧客だけでなく、リピーターの固定客も多いのが強みだ。
タクシー業界の会社,東京都江戸川区にてタクシー旅客運送を行う。車両にはドライブレコーダーと防犯カメラを導入済であり、快適で安全なサービスを提供することに注力している。
高齢者向け福祉業界の会社,「ジェイケア」などの訪問介護事業所やグループホーム「プライミー」、通所介護サービスなどを運営する会社である。その他にも、介護タクシーによるサービスや障害者向け福祉サービスも提供する他、「こころ保育園」の運営もする。
高齢者向け福祉業界の会社,四日市市・鈴鹿市で看護師や理学療法士・作業療法士や言語聴覚士による、訪問看護や訪問リハビリ特化デイサービスなど、各種介護保険サービスを提供している。居宅介護支援事業所も併設しているので、訪問看護ステーションとの併用で、特に医療ケアの必要な利用者にも介護保険サービスを提供している。
ホテル・旅館業界の会社,旅館「ゆの宿 和どう」を始めとして、菓子屋「秩父菓子処 栗助」やレストラン「茶房レストラン 春夏秋冬」を営む。菓子事業の栗助では栗のお菓子やスイーツを中心に販売を行う。他に、自社ECサイトでの販売も手掛ける。
タクシー業界の会社,"都内最大級のチェッカーグループに加盟しているタクシー会社である。約3,800台を保有しており、プリウスやハイグレード車両及び、Suica/Pasmoの決済端末なども導入している。さらに、自社に整備工場を併設しているため、事故時の対応も請け負う。"
金属部品製造業界の会社,大阪府河内長野市において、ねじの製造および販売をおこなっている。また、座金やシーリングパッキン、黒フェルトパッキンおよびワッシャーの製造および販売も手掛ける。
Webサービス・アプリ運営業界の会社,子供服の通販サイト「devirockstore」やインターネットメディア「子育てWeb ージブン色子育て発見メディアー」を運営している会社。テレビ、雑誌などメディアやスタイリスト向けの衣装の貸出も行っている。
高齢者向け福祉業界の会社,介護職員初任者研修や同行援護従業者養成研修など、介護教室を運営している。介護現場での就労、高齢者の介護を行うために必要な専門的知識や技術の習得を目的とする。高齢者向けグループホーム「かおり」の運営も手掛ける。
自動車部品・カー用品製造業界の会社,愛知県津島市を拠点に、自動車部品の製造を手掛ける。また、電子機器の製造も行う。
高齢者向け福祉業界の会社,滋賀で在宅介護サービス「ふれあいサポート」を展開し、居宅支援および訪問介護や障がい者総合支援を提供。またリハビリステーションの「アスウェル」を運営し、体操やストレッチなど利用者にあった運動を行うリハビリ型デイサービスも手がける。その他、窓ふき及び照明器具の掃除や入院中のサポートも行う。
自動車部品・カー用品製造業界の会社,トヨタ自動車株式会社がフランチャイズ展開する、カー用品店「ジェームス」の運営を行なっている。また、同店への人材派遣および店舗管理事業も手がけている。店舗ではタイヤやドライブレコーダーなどのカー用品販売のほか、エンジンオイル交換などのカーメンテナンスにも対応。
金属部品製造業界の会社,自動車部品や農機具部品の製造を行う。その他、パイプ加工も手掛ける。
ホテル・旅館業界の会社,湯郷温泉街にある温泉宿泊施設「湯郷グランドホテル」を運営する。宿泊だけではなく日帰り入浴や歓送迎会での使用にも対応。客室は和室・洋室、エコノミーからビジネスまで様々な種類の部屋がある。貸切風呂や足湯なども併設されているほか、岡山の食材を使用した料理を提供している。
居住用リフォーム業界の会社,とびと土工工事を行う。さらに、窓や玄関およびエクステリアのリフォーム工事に携わり、「MADOショップ入間宮寺店」として営業と工事に取り組む。
ホテル・旅館業界の会社,ダイビングプールやバーベキューハウスを併設した、リゾートホテル「ホテルリード・アズーロ」「リードパークリゾート八丈島」の運営を行う。また、宿泊客が利用できるパーターゴルフ練習場などの施設も有する。
高齢者向け福祉業界の会社,デイサービス通所介護事業所「夢広場」及び「夢広場Ⅱ」を運営している。訪問看護ステーション「夢未来」も営む。また、居宅介護支援事業所として、ケアマネージャーによるケアプラン作成を行っている。その他に、車椅子洗浄サービスを実施する。
タクシー業界の会社,mytaxiグループに所属し、千葉県八千代市を拠点としてタクシーの運行を行う。法人向けの支払サービスであるmyタクシーチケットが特徴。
タクシー業界の会社,藤田産業グループに属し、「ワールドタクシー」を京都府南部にて展開している。CO2の排出が抑えられるLPG車や電気自動車を導入し、環境に配慮した営業を行っている。2016年には、学生や高齢者・子育て世帯で運賃が10％割引になる「ワールド会員」という登録制度が新設された。
ホテル・旅館業界の会社,広島空港から徒歩5分の立地でホテル「広島エアポートホテル」を運営している。また、リゾートコテージ「フォレストヒルズガーデン」の運営も手掛け、ウェディングプランも提供する。
食品店業界の会社,主に、首都圏のデパートに店舗を展開する青果店「ころくや」の運営を手掛けている。野菜や果物の販売に加え、ジュースバーやソフトクリームの販売も展開している点が特徴。また、学校や病院および居酒屋チェーン等を対象とする青果の卸売にも対応する。
マンション・アパート賃貸業界の会社,一般向け住宅や事業者向けテナントおよび社宅など不動産の賃貸や売買の仲介ならびに管理やアフターサービスなどを手掛ける。また、入居者やオーナー向けの保険の代理販売を行う。さらに、リフォームや社宅の代行業務を行うほか、引越しに関連するサービスも提供する。
高齢者向け福祉業界の会社,医療法人やわらぎ会グループ会社として「グループホームやわらぎ」の運営を行う。また、訪問介護手掛ける「ヘルパーステーションピノキオ」も運営する。
ホテル・旅館業界の会社,神奈川県横浜市を拠点に、ホテルや旅館ならびにレストランやスポーツ施設などの開発や運営およびコンサルティングを手掛ける。また、ホテル「PROSTYLE旅館 横濱馬車道」の運営も行う。
居酒屋・バー業界の会社,焼き鳥屋チェーン店「秋吉」の運営を行う秋吉グループのFC統括や管理を行う。また、直営店の運営や店舗のメンテナンス、商品の焼き鳥の製造および出荷も手掛ける。
マンション・アパート賃貸業界の会社,アパートや戸建住宅のほか、駐車場や倉庫といった不動産の賃貸仲介を行う。また、自社管理の駐車場を保有している。その他、新築・中古住宅の他、土地や事業用物件の売買も扱う。さらに企業誘致や土地取得交渉といった用地開発も行っている。
居住用リフォーム業界の会社,愛知県田原市で、リフォーム工事や土木造成工事、建築工事・解体工事などを請負う。一般住宅の一般リフォームや耐震化工事、バリアフリー化工事などを行う。また、宅地造成や公園・道路などの土木工事、事務所や店舗・公共施設などの建築などを手掛ける。その他、放置空家などの解体工事にも対応。
ホテル・旅館業界の会社,札幌市を中心に「定山渓第一寶亭留翠山亭」をはじめ、地元の食材を使用した料理や温泉に力を入れたホテルの運営を行う。結婚記念日や長寿、新たな門出の祝いなどの滞在プランを取り扱う。施設では、和食やフレンチなどの料理を提供する他、スパエステや日帰り入浴が可能な温泉施設を設けている。
警備業界の会社,大阪府吹田市を拠点に、警備業務を手掛ける会社である。出入管理や施設内巡回、立哨などの施設常駐警備を請け負う。
Webサービス・アプリ運営業界の会社,スマートフォン向けアプリケーションの開発および運営を行っている。自社開発アプリケーションとして、「WI-FIテザリングスイッチャー」「JAZZOOMCAFEのハイテクニック・ウクレレ」などを提供する。
自動車部品・カー用品製造業界の会社,愛知県名古屋市で自動車向けにプラスチック製部品の成型や検査を手掛ける。また、仕上げ加工も行っている。
タクシー業界の会社,島根県浜田市を拠点に、タクシー運行を行っている。観光タクシーや妊婦応援タクシーの「ママサポートタクシー」の運行も行うほか、運転代行業にも対応する。
タクシー業界の会社,神戸市内を中心としたタクシー業を行う。神戸の名所を巡るタクシー観光コースを運行するほか、ジャンボタクシーを使った送迎や観光にも対応する。
ホテル・旅館業界の会社,温泉旅館「新潟岩室温泉 富士屋」の運営を行う。自家源泉「上の郷おんせん」の露天風呂ならびに展望大浴場が特徴。露天風呂付き和室「特富士」や洋室「アジアンモダンツイン」等の客室を提供する。通常の宿泊プランに加え、日帰りプランや妊婦に配慮したプラン等を手掛ける。
自動車部品・カー用品製造業界の会社,高温に強く、油・水・ガスを完全に密封するガスケットを製造・開発をしている会社。負荷が高いガソリンエンジンから大容量のディーゼルエンジンまで、全域をカバーしたガスケットを開発し、自動車エンジンの性能と品質の向上に力を入れる。また、2次ガスケットや、エアバック用のインフレーター・フィルターを始めとする、防熱・遮熱部品や排気系部品などの多くの自動車部品を開発・製造・販売を行っている。特に高い技術を必要とする燃焼ガスのシール構造として『Wave Stopper』の開発に成功し、様々な自動車メーカーに採用されている。米国の大手自動車部品メーカーDANA社と、三菱電線工業の合弁会社で、2016年にニチアスの完全子会社になった。インドネシアへ生産技術を供与し、合弁会社を設立する。ビクターラインツの統一ブランドを立ち上げるなど、グローバルにビジネスを展開。
医療機器・実験機器メーカー業界の会社,カテーテルなどの医療機器や検査機器、手術用機器の製造および研究開発を手掛ける。また、ディスポ商品や高画質超音波画像診断装置も取り扱う。その他、アンギオ室の業務効率化システムの導入により、物品管理や消費管理、コスト管理に対応する。
警備業界の会社,総合警備会社として建設作業所における交通誘導、施設警備や制限区域の警備を行う。
ホテル・旅館業界の会社,春日井市にある全90室あるホテルを運営している。また、歓送迎会や同窓会などに利用可能な本格的な宴会場やカフェやバー、日本料理などのレストランがある。その他、挙式や披露宴の会場があり、オリジナルプランや和婚、少人数プランなどを手掛けている。
居酒屋・バー業界の会社,焼き鳥やもつ鍋などを提供する「ぶた屋」の運営を手掛けている。また、うなぎ料理などを提供する大衆酒場「うなぎ家」や餃子専門店「ぎょうざ家」も運営する。他に、ラーメンやチャーハンの専門店「ラーチャン家」および備長炭火焼料理を提供する酒場「かも家」の運営も行う。
ホテル・旅館業界の会社,関東や甲信越、東海や関西に展開する「ホテルグリーンプラザ」チェーンの本社。スキー場や遊園地、ゴルフ場といったグループ内の施設の運営や企画、営業や予約業務を担当する。また、グループ内各社の経理や決算などの代行も行う。
金属部品製造業界の会社,茨城県猿島郡境町を拠点として、バケットやブレード、アームなど、建設用特殊自動車の部品製造を手掛けている。建設機械部品の溶接やブラストおよび塗装などの製缶作業を実施。
ホテル・旅館業界の会社,東京都墨田区にある第一ホテル両国を運営している。同ホテルは宿泊以外にもブライダルやレストランも併設しているため、婚礼や宴会でも利用されている。また、東京ディズニーリゾートとのグットネイバーホテルでもあり、専用バスでの無料送迎も行う。
ホテル・旅館業界の会社,城崎温泉郷において露天風呂を有する温泉旅館「白山」の運営を行う。また、ジェットバスや岩風呂ならびに貸切専用家族風呂や岩石岩盤浴などを完備している。その他、離れ「里山の四季」と別館「陽邸さなえ田」にて各種宿泊サービスを提供。
高齢者向け福祉業界の会社,デイサービスセンター「ナーシングホーム気の里」の運営を行っている。また、居宅介護支援や短期入所の生活介護に加え、訪問看護ステーションなどの介護サービスも提供する。その他、認知症対応型通所介護にも対応する。
高齢者向け福祉業界の会社,老人ホーム「グループホーム ふじの里」「グループリビング絆」の運営を行う。また、デイサービス「デイサービスセンターふじの里」の運営も手掛ける。短期入所型のサービスも提供している点が特徴。
タクシー業界の会社,小型・中型タクシーやジャンボタクシーを運行する。その他、「太宰府めぐり 歴史と万葉の郷」コースやラーメン店を巡る「ラーメンタクシー」など観光タクシーを運行している。また、緊急性の低い患者の病院間医療搬送を行う民間救急サービス「PAS」や車いす利用者に向けた介護タクシーを手掛ける。
警備業界の会社,建築や道路工事現場、駐車場において交通誘導警備を行う。また、施設警備では邸宅やオフィス、ビルや商業施設などの出入管理や盗難予防などを手掛ける。ほかにもイベント警備や雑踏警備事業、列車見張業務なども請け負う。
高齢者向け福祉業界の会社,通所介護施設「デイサロンみさと」や小規模多機能型居宅介護施設「朝陽の緑」などの運営を手掛ける。また、食事や入浴の介助を行う訪問介護や、ケアマネジャーによる介護相談及びケアプランの作成を実施する居宅介護支援事業を手掛ける。
自動車部品・カー用品製造業界の会社,自動車部品やカー用品の製造を手掛ける。また、自動車部品のプレス作業やスポット組付け作業も行う。
高齢者向け福祉業界の会社,「有料老人ホームあじさい」「グループホームあじさい」などの事業所を運営し、高齢者向けの福祉事業を行っている。また、「デイサービスらんらん」「デイサービスセンターあじさい」などでデイサービスを提供するほか、「居宅介護支援事業所あじさい」にてケアプランの作成などの居宅介護支援にも対応する。
警備業界の会社,工事現場の交通誘導警備やイベント時の雑踏警備などの警備業を行う。また、鉄道工事時の列車見張り警備や事務所や工場などにおける常駐警備も請け負う。その他、警備計画の策定や道路使用の許可申請のアドバイスなども実施。
自動車部品・カー用品製造業界の会社,長野県小県郡に拠点を置き、アルミニウム合金鋳造の専門メーカーとして、各種アルミ製品の製造を行っている。主に、オートバイや自動車用のアルミブレーキシリンダーの鋳造を手が手掛けている点が特徴。
ゴルフ場業界の会社,ゴルフ場の設計や造成、改造を手掛ける安達建設株式会社のグループ企業として、ゴルフ場やスキー場の運営を行う。運営する施設は茨城県や北海道などを中心とし、「茨城ゴルフ倶楽部」や「朝里川温泉スキー場」などがある。
人材紹介業界の会社,清掃や製造業に関する人材派遣や人材紹介および誘導警備を手掛ける。また、建設や清掃などの業務請負にも対応。短期や長期、またフルタイムや1日など様々な求人募集を行う。
タクシー業界の会社,東京23区と武蔵野市、三鷹市を出発地または到着地とするタクシー運行を主体業務とする会社である。トヨタアルファードが主力車で、2017年現在車両45台を保有。スマホアプリ配車やWeb予約リクエスト、日時指定の場合のWeb事前決済サービスも導入している。
ゴルフ場業界の会社,ゴルフ場「藤沢ジャンボゴルフ」の運営を行う。コース以外にも練習打席やアプローチとパッティングの練習場所を併設している。また、ゴルフスクールの運営も手掛けており、少人数レッスンやジュニア育成を行っている。
警備業界の会社,量販店や工場などの施設での常駐警備、巡回警備を行っている会社である。警備業務のほか、道路上での車両誘導やイベント会場での来場者の誘導などの交通誘導業務も行っている。
金属部品製造業界の会社,工作機械の鋳物の製造および仕上げを行う。鋳造された製品のサンダー仕上げや溶解工などに対応。
自動車部品・カー用品製造業界の会社,愛知県稲沢市を拠点にし、自動車部品および用品の製造を手掛ける。
自動車部品・カー用品製造業界の会社,熱硬化性樹脂ならびに熱可塑性樹脂、複合加工樹脂による自動車用機能部品を製造し、トヨタグループをはじめとする国内自動車メーカーに販売する。主な製品には、シガーライターやワイパースイッチ、ウインカースイッチなどがある。
タクシー業界の会社,近鉄グループに所属し、一般顧客向けタクシーをはじめ観光タクシーやハイヤー業務を行っている。また、子供ひとりでの乗車が可能な「子育て支援タクシー」や、妊婦向けの各種サービスが可能な「マタニティタクシー」などのサービスを展開。他に、自家用車の整備や運転代行サービスも手掛けている。
自動車部品・カー用品製造業界の会社,SUVやワンボックスカー、ミニバンなどに用いられる自動車用シートのクッションフレームの製造および卸売を行う。また、シートロックやシートヒンジ等の小型部品も手掛けている。在庫管理システムを導入し、供給情報と部品発注情報を一元管理する点が強み。
高齢者向け福祉業界の会社,宮崎県北諸県郡にて、住宅型有料老人ホーム「たでいけ至福の園」の運営を手掛ける。また、デイサービスセンターを併設し、通所介護にも対応する。そのほか、訪問介護や居宅介護事業に携わる。
金属部品製造業界の会社,機械部品の製造や機械加工を専門とする会社。主な製造部品に、シリンダーやリーマボルト、プラント部品などがある。さまざまな部品に対応し、材料調達から金属加工まで自社一貫生産体制を行っているのが強み。航空宇宙産業用部品も扱っている。また、ソーラーパネルとパネル架台の販売も行っている。
高齢者向け福祉業界の会社,熊本県にて、居宅介護支援事業所「つどい」ならびに老人ホーム「ユートピア熊本」の運営を手掛ける。協力医療機関である「くわみず病院」と連携し、病院への付き添いや送迎も請け負う。
金属部品製造業界の会社,エンジン部品をはじめ電動機械部品や工作機械部品などを製造している。鋳造業向け管理システムを導入し、試作品から量産品などの製造にも対応可能。
Webサービス・アプリ運営業界の会社,管理栄養士が監修したレシピ・献立を載せているWebサイトの運営を行う。テーマ別や定番料理などからの検索も可能。糖尿病や高血圧、糖質異常症などに考慮したレシピのほか、健康を気にする女性やシニア向けのレシピも掲載している。無料のiOSスマートフォンアプリも提供。
警備業界の会社,建設工事や土木工事における交通誘導警備を手掛ける。また、イベント会場での雑踏警備および駐車場警備を請け負う。その他、施設警備やJRの列車見張員などにも対応。
高齢者向け福祉業界の会社,「住宅型有料老人ホームあゆみ」「デイサービスあゆみ」「小規模多機能ホームともに」の運営を行う。主に要介護者の高齢者に対して入浴や食事などを提供し、自宅までの送迎も請け負う。その他、訪問介護も行っている。
金属部品製造業界の会社,秋田県北秋田市で、タッピンネジや精密切削部品の加工および製造を手掛ける。「デルタナイト」「プラックス」「ショルデック」などのネジを取り扱う。
